"Gross national income (GNI) per capita (2011 PPP$)"
"HDI Rank (2015)","Country","1990","","1991","","1992","","1993","","1994","","1995","","1996","","1997","","1998","","1999","","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015",""
"169"," Afghanistan","2071","","1741","","1646","","1145","","831","","1180","","1072","","986","","917","","848","","775","","701","","1103","","1141","","1122","","1188","","1262","","1557","","1420","","1623","","1630","","1721","","1850","","1912","","1895","","1871",""
"75"," Albania","4214","","2984","","2738","","3146","","3504","","4075","","4482","","3994","","4370","","4912","","5262","","5686","","5890","","6257","","6616","","7022","","7546","","8087","","8627","","8844","","9283","","9614","","9722","","9932","","10007","","10252",""
"83"," Algeria","9895","","9404","","9389","","9083","","8774","","8825","","9071","","9041","","9400","","9515","","9776","","10081","","10409","","11046","","11314","","11779","","11891","","12420","","12589","","12561","","12875","","12903","","13060","","13070","","13270","","13533",""
"32"," Andorra","41332","","40767","","39588","","37831","","37680","","38024","","39522","","43202","","44763","","46400","","46052","","49672","","50164","","50877","","52784","","54740","","55947","","55275","","49545","","46252","","43357","","42540","","43854","","45077","","47646"," a","47979"," a"
"150"," Angola","4359","","4177","","3765","","2743","","2749","","2943","","3180","","3337","","3467","","3478","","3474","","3504","","3150","","3199","","3424","","3909","","4560","","5403","","5945","","5888","","5887","","5917","","6018","","6219","","6308","","6291",""
"62"," Antigua and Barbuda","15620","","16493","","16569","","17423","","18063","","16802","","16957","","18175","","18611","","18796","","18222","","17799","","17711","","18665","","19372","","20512","","23027","","24945","","24569","","21446","","19997","","19290","","19705","","19773","","20421","","20907",""
"45"," Argentina","10605","","11711","","12903","","13719","","14307","","13674","","14226","","15186","","15537","","14821","","14538","","13713","","11544","","12570","","13602","","14975","","16219","","17425","","17767","","17503","","18945","","20366","","20341","","20781","","20664","","20945"," b"
"84"," Armenia","3688","","3280","","1940","","1812","","1955","","2131","","2299","","2402","","2575","","2672","","2836","","3158","","3635","","4135","","4773","","5439","","6224","","7089","","7690","","6486","","6838","","7045","","7552","","7818","","8045","","8189",""
"2"," Australia","27836","","27603","","28730","","29680","","30102","","30942","","31882","","33015","","34312","","35357","","35687","","36714","","37407","","38513","","38904","","39422","","40012","","40921","","41114","","40981","","39820","","40086","","41255","","41806","","42160","","42822",""
"24"," Austria","31100","","31800","","32328","","32255","","32760","","33272","","34122","","34690","","35814","","36925","","38043","","38305","","39096","","39311","","40189","","40791","","42228","","43386","","44305","","42151","","43327","","44172","","44200","","44165","","43545","","43609",""
