"Human Development Index (HDI)"
"HDI Rank (2015)","Country","1990","","1991","","1992","","1993","","1994","","1995","","1996","","1997","","1998","","1999","","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015",""
"169"," Afghanistan","0.295","","0.300","","0.309","","0.305","","0.300","","0.324","","0.328","","0.332","","0.335","","0.338","","0.340","","0.341","","0.373","","0.381","","0.396","","0.405","","0.415","","0.433","","0.434","","0.448","","0.454","","0.463","","0.470","","0.476","","0.479","","0.479",""
"75"," Albania","0.635","","0.618","","0.603","","0.608","","0.616","","0.628","","0.637","","0.636","","0.646","","0.656","","0.662","","0.670","","0.674","","0.681","","0.685","","0.696","","0.703","","0.713","","0.721","","0.725","","0.738","","0.752","","0.759","","0.761","","0.762","","0.764",""
"83"," Algeria","0.577","","0.581","","0.587","","0.591","","0.595","","0.600","","0.609","","0.617","","0.627","","0.636","","0.644","","0.653","","0.663","","0.673","","0.680","","0.686","","0.690","","0.697","","0.705","","0.714","","0.724","","0.732","","0.737","","0.741","","0.743","","0.745",""
"32"," Andorra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.819","","0.819","","0.843","","0.850","","0.857","","0.858",""
"150"," Angola","","","","","","","","","","","","","","","","","","","0.382","","0.391","","0.401","","0.406","","0.415","","0.426","","0.439","","0.454","","0.468","","0.480","","0.488","","0.495","","0.508","","0.523","","0.527","","0.531","","0.533",""
"62"," Antigua and Barbuda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.773","","0.781","","0.786","","0.788","","0.783","","0.782","","0.778","","0.781","","0.782","","0.784","","0.786",""
"45"," Argentina","0.705","","0.713","","0.720","","0.725","","0.728","","0.731","","0.738","","0.746","","0.753","","0.764","","0.771","","0.776","","0.770","","0.775","","0.780","","0.782","","0.788","","0.792","","0.794","","0.802","","0.816","","0.822","","0.823","","0.825","","0.826","","0.827",""
"84"," Armenia","0.634","","0.628","","0.595","","0.593","","0.597","","0.603","","0.609","","0.618","","0.632","","0.639","","0.644","","0.645","","0.657","","0.668","","0.679","","0.692","","0.707","","0.721","","0.725","","0.720","","0.729","","0.732","","0.736","","0.739","","0.741","","0.743",""
"2"," Australia","0.866","","0.867","","0.871","","0.874","","0.876","","0.885","","0.888","","0.891","","0.894","","0.897","","0.899","","0.902","","0.905","","0.908","","0.910","","0.915","","0.918","","0.921","","0.925","","0.927","","0.927","","0.930","","0.933","","0.936","","0.937","","0.939",""
"24"," Austria","0.794","","0.798","","0.804","","0.806","","0.812","","0.816","","0.819","","0.823","","0.833","","0.833","","0.837","","0.847","","0.837","","0.841","","0.848","","0.854","","0.860","","0.864","","0.870","","0.872","","0.880","","0.884","","0.887","","0.892","","0.892","","0.893",""
